"";"name";"block";"anthroTreat";"empathTreat";"treatAnthroEmpath";"treatAnthroInter";"treatEmpathInter";"anthro";"empathy";"AnthroEmpath";"interEmpath";"interAnthro";"servFailure";"InitialTechTrustExpect";"PostIncTechTrustExpect";"PostIncTechTrustPerfor";"PostIncTechTrustDiconf";"PostIncTechTrustSatisf";"PostIncTechTrustIntent";"playfulness";"innovativeness";"robotSE";"ageNum";"trustingstance";"genderNum";"eduNum";"IntentOfUsageContinuat";"reUse"
"55";"RobotSE2_1";"robotSE";0,02;0,095;0,081;0,021;0,047;0,283;0,284;0,315;0,177;0,217;-0,024;0,426;0,359;0,285;0,178;0,259;0,364;0,226;0,228;1;-0,018;0,283;-0,054;0,064;0,445;0,2
"56";"ageNum";"ageNum";-0,01;-0,08;-0,084;-0,077;-0,108;0,005;-0,127;-0,078;-0,121;-0,062;-0,076;-0,024;-0,061;0,057;-0,025;0,133;-0,006;-0,099;0,019;-0,018;1;0,021;-0,03;-0,093;0,006;0,034
"57";"TrustingStance_1";"trustingstance";0,003;0,101;0,087;0,021;0,057;0,026;0,174;0,107;0,106;0,012;0,009;0,375;0,277;0,188;0,132;0,088;0,256;0,09;0,081;0,26;-0,021;0,951;0,115;-0,114;0,227;0,069
"58";"TrustingStance_3";"trustingstance";0,073;0,101;0,11;0,045;0,034;0,141;0,14;0,168;0,078;0,072;-0,036;0,377;0,236;0,141;0,07;0,105;0,19;0,034;-0,041;0,267;0,078;0,898;0,094;-0,161;0,164;0,044
"59";"genderNum";"genderNum";-0,081;0,057;0;0,048;0,143;0,021;0,082;0,094;0,152;0,066;0,149;0,006;-0,006;0,038;0,132;-0,095;-0,114;-0,191;-0,306;-0,054;-0,03;0,114;1;-0,023;-0,039;-0,215
"60";"eduNum";"eduNum";0,074;0,079;0,1;0,02;0,056;0,003;-0,066;-0,036;-0,059;0,021;-0,013;-0,002;-0,048;-0,135;-0,137;-0,094;-0,016;0,072;0,1;0,064;-0,093;-0,144;-0,023;1;-0,017;0,228
"61";"Usage_Cont_Intention_1";"IntentOfUsageContinuat";0,07;0,094;0,113;-0,026;-0,069;0,229;0,25;0,263;0,078;0,094;-0,115;0,378;0,496;0,393;0,317;0,325;0,583;0,221;0,267;0,458;0,035;0,153;-0,079;-0,008;0,871;0,321
"62";"Usage_Cont_Intention_2";"IntentOfUsageContinuat";0,115;0,11;0,16;-0,005;-0,061;0,241;0,248;0,28;0,043;0,09;-0,115;0,48;0,574;0,443;0,363;0,394;0,682;0,228;0,24;0,354;-0,032;0,194;-0,024;-0,005;0,899;0,291
"63";"Usage_Cont_Intention_3";"IntentOfUsageContinuat";0,107;0,184;0,198;-0,068;-0,037;0,192;0,273;0,248;0,016;0,012;-0,171;0,45;0,449;0,339;0,291;0,27;0,484;0,262;0,234;0,357;0,013;0,228;0,006;-0,034;0,864;0,256
"64";"reUse";"reUse";0,179;-0,003;0,085;0,023;-0,137;0,178;0,087;0,163;-0,071;0,038;-0,143;0,279;0,199;0,176;0,145;0,332;0,35;0,258;0,311;0,2;0,034;0,063;-0,215;0,228;0,331;1
